"ensembl_id","mean_counts_SOD1_A4V_.","mean_counts_SOD1_._.","hgnc_symbol"
"ENSG00000111671",29.41512441,42.5179505,"SPSB2"
"ENSG00000111674",2588.384607,4613.304558,"ENO2"
"ENSG00000111676",2267.029397,1685.208669,"ATN1"
"ENSG00000111678",310.4758031,795.7894444,"C12orf57"
"ENSG00000111684",234.7305537,281.2590053,"LPCAT3"
"ENSG00000111696",83.82144979,43.04368354,"NT5DC3"
"ENSG00000111707",618.8532621,535.7660068,"SUDS3"
"ENSG00000111711",466.4128422,617.2003511,"GOLT1B"
"ENSG00000111716",2676.972163,4744.459283,"LDHB"
"ENSG00000111725",375.1644373,492.2364963,"PRKAB1"
"ENSG00000111726",415.5709864,596.2366557,"CMAS"
"ENSG00000111727",263.2074637,178.8286444,"HCFC2"
"ENSG00000111728",72.25049368,68.50876801,"ST8SIA1"
"ENSG00000111731",680.0290471,428.8648521,"C2CD5"
"ENSG00000111737",395.100563,698.5535108,"RAB35"
"ENSG00000111752",1358.934151,805.8751865,"PHC1"
"ENSG00000111775",326.0396258,731.4396325,"COX6A1"
"ENSG00000111783",2551.453113,764.1987521,"RFX4"
"ENSG00000111785",670.8624309,320.678293,"RIC8B"
"ENSG00000111786",1188.824381,1282.100139,"SRSF9"
"ENSG00000111790",363.1831777,246.1468822,"FGFR1OP2"
"ENSG00000111799",38.7211684,15.16922584,"COL12A1"
"ENSG00000111801",40.06782293,34.98950926,"BTN3A3"
"ENSG00000111802",282.2415618,274.368575,"TDP2"
"ENSG00000111817",51.62068558,30.9395794,"DSE"
"ENSG00000111832",281.6511203,419.7619548,"RWDD1"
"ENSG00000111834",451.1097816,351.0230025,"RSPH4A"
"ENSG00000111837",131.4982293,72.58575972,"MAK"
"ENSG00000111843",420.1524311,807.773109,"TMEM14C"
"ENSG00000111845",78.93932925,173.2525134,"PAK1IP1"
"ENSG00000111846",57.09511109,95.86564294,"GCNT2"
"ENSG00000111850",87.97822436,136.5786235,"SMIM8"
"ENSG00000111859",397.4868094,242.8087462,"NEDD9"
"ENSG00000111860",131.2491739,42.78586232,"CEP85L"
"ENSG00000111875",200.5211161,322.0198456,"ASF1A"
"ENSG00000111877",82.08178869,35.24390522,"MCM9"
"ENSG00000111879",303.0461881,200.5743738,"FAM184A"
"ENSG00000111880",347.6909323,395.800561,"RNGTT"
"ENSG00000111885",201.5263845,154.0922959,"MAN1A1"
"ENSG00000111897",6006.381991,5941.230956,"SERINC1"
"ENSG00000111906",209.0166668,503.4672559,"HDDC2"
"ENSG00000111907",145.0797222,324.4994943,"TPD52L1"
"ENSG00000111911",532.2171689,454.780173,"HINT3"
"ENSG00000111912",183.8932213,312.4999898,"NCOA7"
"ENSG00000111913",139.4975325,28.76834321,"RIPOR2"
"ENSG00000111961",160.4713867,38.80297309,"SASH1"
"ENSG00000111962",60.30728441,28.37640439,"UST"
"ENSG00000111981",11.23409334,7.091672808,"ULBP1"
"ENSG00000112029",68.13176944,61.4007406,"FBXO5"
"ENSG00000112031",235.2177544,245.0967877,"MTRF1L"
"ENSG00000112033",275.5327694,114.1895,"PPARD"
"ENSG00000112039",54.54309321,102.0897434,"FANCE"
"ENSG00000112062",305.4885783,293.0563866,"MAPK14"
"ENSG00000112078",738.2081872,733.5143724,"KCTD20"
"ENSG00000112079",494.992993,425.3339119,"STK38"
"ENSG00000112081",1558.345962,1819.044585,"SRSF3"
"ENSG00000112096",748.7440748,702.9173986,"SOD2"
"ENSG00000112110",217.6942189,335.3398832,"MRPL18"
"ENSG00000112118",227.6848985,195.9723374,"MCM3"
"ENSG00000112130",199.7939068,279.0230817,"RNF8"
"ENSG00000112137",124.1202347,130.9038625,"PHACTR1"
"ENSG00000112139",363.3154222,243.5193016,"MDGA1"
"ENSG00000112144",254.3931438,166.9120329,"ICK"
"ENSG00000112146",642.4235713,502.8529003,"FBXO9"
"ENSG00000112149",44.77246535,27.24539985,"CD83"
"ENSG00000112159",526.5516952,313.2153482,"MDN1"
"ENSG00000112167",105.432046,102.3288028,"SAYSD1"
"ENSG00000112175",7.050178584,20.19157412,"BMP5"
"ENSG00000112182",362.9205522,342.6822449,"BACH2"
"ENSG00000112183",146.7949031,41.35227871,"RBM24"
"ENSG00000112186",311.3243468,207.2243378,"CAP2"
"ENSG00000112200",329.8041903,243.8717941,"ZNF451"
"ENSG00000112208",136.4654972,116.1704588,"BAG2"
"ENSG00000112210",246.442801,211.4263746,"RAB23"
"ENSG00000112232",16.19683791,15.20839039,"KHDRBS2"
"ENSG00000112234",78.01016152,63.89140128,"FBXL4"
